time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523318419063,2018-04-10T00:00:19.062999Z,1023.3200867763712,-72,324,968,3013,20,1011.97,29.07,C2:9A:9F:E5:58:27
1523318424603,2018-04-10T00:00:24.602999Z,1019.5371498871436,-72,324,964,3007,20,1011.98,29.06,C2:9A:9F:E5:58:27
1523318430198,2018-04-10T00:00:30.197999Z,1013.5245433634057,-76,316,960,3001,20,1012.07,29.08,C2:9A:9F:E5:58:27
1523318435613,2018-04-10T00:00:35.612999Z,1015.4092770897851,-84,320,960,3001,20,1012,29.07,C2:9A:9F:E5:58:27
1523318440823,2018-04-10T00:00:40.822999Z,1013.950689136311,-64,320,960,3001,20,1012.01,29.08,C2:9A:9F:E5:58:27
1523318446383,2018-04-10T00:00:46.382999Z,1010.3702291734451,-84,316,956,2995,20,1011.99,29.07,C2:9A:9F:E5:58:27
1523318451613,2018-04-10T00:00:51.612999Z,1012.2687390214122,-76,324,956,3001,20,1012,29.07,C2:9A:9F:E5:58:27
1523318456993,2018-04-10T00:00:56.993000Z,1021.1052835041056,-76,328,964,3001,20,1011.95,29.07,C2:9A:9F:E5:58:27
1523318462533,2018-04-10T00:01:02.532999Z,1017.6207545053314,-80,316,964,3001,20,1012.05,29.07,C2:9A:9F:E5:58:27
1523318467583,2018-04-10T00:01:07.582999Z,1018.273047860936,-72,320,964,3001,20,1012.04,29.08,C2:9A:9F:E5:58:27
1523318473143,2018-04-10T00:01:13.142999Z,1014.7787936294294,-76,320,960,3013,20,1012.01,29.08,C2:9A:9F:E5:58:27
1523318478598,2018-04-10T00:01:18.598000Z,1016.0472429961119,-76,324,960,3001,20,1012.01,29.08,C2:9A:9F:E5:58:27
1523318484603,2018-04-10T00:01:24.602999Z,1012.2687390214122,-76,324,956,2995,20,1012.06,29.08,C2:9A:9F:E5:58:27
1523318489763,2018-04-10T00:01:29.763000Z,1020.1333246198753,-80,324,964,2995,20,1012.03,29.07,C2:9A:9F:E5:58:27
1523318495623,2018-04-10T00:01:35.622999Z,1016.0472429961119,-76,324,960,3007,20,1012.02,29.08,C2:9A:9F:E5:58:27
1523318501403,2018-04-10T00:01:41.403000Z,1018.563694621009,-76,320,964,3007,20,1011.98,29.08,C2:9A:9F:E5:58:27
1523318506613,2018-04-10T00:01:46.612999Z,1007.5236969917879,-80,320,952,3001,20,1011.99,29.08,C2:9A:9F:E5:58:27
